[START] Starting AI-HR Bridge Platform v4.0...
   [OK] Conversation history support enabled
   [OK] Development suggestions feature enabled
   [BOOTH] https://<this-ip>:8443/booth/  (Booth Game)
INFO:     127.0.0.1:15312 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:15312 - "GET /api/dashboard HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/attendance/daily?date=2026-06-27 HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/leave/requests/pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP005/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP005/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP003/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP009/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP016/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13910 - "GET /api/employees/EMP020/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:31701 - "GET /api/employees/EMP002/skills HTTP/1.1" 200 OK
INFO:     127.0.0.1:31701 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:31701 - "GET /api/employees/EMP006 HTTP/1.1" 200 OK
INFO:     127.0.0.1:31701 - "GET /api/dashboard HTTP/1.1" 200 OK
INFO:     127.0.0.1:31701 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53912 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59340 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:30914 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:7638 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:44431 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:12380 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:1869 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:10168 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:55124 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:27904 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53870 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:31533 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:57899 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13056 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:13056 - "GET /api/leave/requests/pending HTTP/1.1" 200 OK
