2026-06-27 09:32:42 | INFO     | __main__ | [GET] /api/attendance/daily ¡ú 200 in 0.00s
2026-06-27 09:32:43 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:32:43 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:32:47 | INFO     | payroll_manager | Calculating salary for EMP005 ¡ª 2026-06
2026-06-27 09:32:47 | INFO     | payroll_manager |   Gross salary: 220,000 | Deductions: absent=0.0, late=0.0, half_day=0.0, leave=0.0
2026-06-27 09:32:47 | INFO     | __main__ | [GET] /api/payroll/EMP005 ¡ú 200 in 0.00s
2026-06-27 09:32:53 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:32:57 | INFO     | payroll_manager | Generating salary adjustment suggestion for EMP005
2026-06-27 09:32:57 | INFO     | __main__ | [GET] /api/payroll/EMP005/adjustment ¡ú 200 in 0.00s
2026-06-27 09:33:00 | INFO     | __main__ | [GET] /api/attendance/daily ¡ú 200 in 0.00s
2026-06-27 09:33:01 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:33:03 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:10 | INFO     | hrms_manager | Leave request submitted: LR20260627_002, 5 days of annual_leave for EMP005
2026-06-27 09:33:10 | INFO     | __main__ | [POST] /api/leave/requests ¡ú 200 in 0.00s
2026-06-27 09:33:10 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:33:12 | INFO     | hrms_manager | Leave request LR20260627_002 approved
2026-06-27 09:33:12 | INFO     | __main__ | [POST] /api/leave/requests/LR20260627_002/approve ¡ú 200 in 0.00s
2026-06-27 09:33:12 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:33:13 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:13 | INFO     | __main__ | [GET] /api/leave/summary/EMP005 ¡ú 200 in 0.00s
2026-06-27 09:33:16 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:16 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:16 | INFO     | __main__ | [GET] /api/attendance/daily ¡ú 200 in 0.00s
2026-06-27 09:33:19 | INFO     | __main__ | [POST] /api/attendance/check-out ¡ú 400 in 0.00s
2026-06-27 09:33:20 | INFO     | __main__ | [POST] /api/attendance/check-in ¡ú 200 in 0.00s
2026-06-27 09:33:23 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:23 | INFO     | __main__ | [POST] /api/attendance/check-out ¡ú 200 in 0.00s
2026-06-27 09:33:25 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:25 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:28 | INFO     | payroll_manager | Calculating salary for EMP005 ¡ª 2026-06
2026-06-27 09:33:28 | INFO     | payroll_manager |   Gross salary: 190,000 | Deductions: absent=0.0, late=0.0, half_day=2727.0, leave=27273.0
2026-06-27 09:33:28 | INFO     | __main__ | [GET] /api/payroll/EMP005 ¡ú 200 in 0.00s
2026-06-27 09:33:33 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:35 | INFO     | payroll_manager | Calculating salary for EMP005 ¡ª 2026-06
2026-06-27 09:33:35 | INFO     | payroll_manager |   Gross salary: 190,000 | Deductions: absent=0.0, late=0.0, half_day=2727.0, leave=27273.0
2026-06-27 09:33:35 | INFO     | __main__ | [GET] /api/payroll/EMP005 ¡ú 200 in 0.00s
2026-06-27 09:33:40 | INFO     | payroll_manager | Generating salary adjustment suggestion for EMP005
2026-06-27 09:33:40 | INFO     | __main__ | [GET] /api/payroll/EMP005/adjustment ¡ú 200 in 0.07s
2026-06-27 09:33:41 | INFO     | payroll_manager | Generating salary adjustment suggestion for EMP005
2026-06-27 09:33:41 | INFO     | __main__ | [GET] /api/payroll/EMP005/adjustment ¡ú 200 in 0.00s
